size,stride,ns
4096,4,0.432616
4096,8,0.382713
4096,16,0.360512
4096,32,0.326645
4096,64,0.254643
4096,128,0.041999
4096,256,0.071267
4096,512,0.197800
4096,1024,0.273386
4096,2048,0.533642
8192,4,0.395177
8192,8,0.385263
8192,16,0.374500
8192,32,0.359069
8192,64,0.308847
8192,128,0.260409
8192,256,0.039786
8192,512,0.118653
8192,1024,0.148625
8192,2048,0.285855
8192,4096,0.475696
16384,4,0.397784
16384,8,0.394089
16384,16,0.383499
16384,32,0.383417
16384,64,0.358757
16384,128,0.329503
16384,256,0.251281
16384,512,0.106495
16384,1024,0.182028
16384,2048,0.445856
16384,4096,0.578589
16384,8192,0.478988
32768,4,0.398708
32768,8,0.397995
32768,16,0.392251
32768,32,0.388414
32768,64,0.376731
32768,128,0.354636
32768,256,0.329703
32768,512,0.248022
32768,1024,0.166947
32768,2048,0.403552
32768,4096,0.835377
32768,8192,0.582200
32768,16384,0.471894
65536,4,0.398641
65536,8,0.399951
65536,16,0.413811
65536,32,0.752698
65536,64,1.861994
65536,128,1.835671
65536,256,1.813920
65536,512,1.741166
65536,1024,3.152699
65536,2048,3.255057
65536,4096,4.651197
65536,8192,0.870721
65536,16384,0.563599
65536,32768,0.482332
131072,4,0.397377
131072,8,0.402337
131072,16,0.412002
131072,32,0.769610
131072,64,1.871796
131072,128,1.865534
131072,256,1.840786
131072,512,1.817003
131072,1024,3.279789
131072,2048,4.601895
131072,4096,6.220911
131072,8192,4.651093
131072,16384,0.789733
131072,32768,0.566970
131072,65536,0.475095
262144,4,0.400077
262144,8,0.403559
262144,16,0.427354
262144,32,0.748669
262144,64,1.951238
262144,128,1.914893
262144,256,1.920283
262144,512,1.913495
262144,1024,3.492942
262144,2048,4.797942
262144,4096,6.765185
262144,8192,5.820463
262144,16384,4.665281
262144,32768,0.749734
262144,65536,0.573094
262144,131072,0.480031
524288,4,0.404042
524288,8,0.435139
524288,16,0.626589
524288,32,1.200820
524288,64,2.712703
524288,128,2.710171
524288,256,2.719091
524288,512,2.686423
524288,1024,4.060186
524288,2048,5.297261
524288,4096,8.141332
524288,8192,7.426970
524288,16384,8.486677
524288,32768,6.618013
524288,65536,1.499924
524288,131072,0.468486
524288,262144,0.480073
1048576,4,0.404290
1048576,8,0.431915
1048576,16,0.646737
1048576,32,1.207412
1048576,64,2.732759
1048576,128,2.738600
1048576,256,2.748199
1048576,512,2.727442
1048576,1024,4.085753
1048576,2048,5.364187
1048576,4096,8.260740
1048576,8192,8.267034
1048576,16384,9.575069
1048576,32768,9.841642
1048576,65536,7.706130
1048576,131072,1.842568
1048576,262144,0.438743
1048576,524288,0.565756
2097152,4,0.406514
2097152,8,0.434129
2097152,16,0.655491
2097152,32,1.211517
2097152,64,2.733753
2097152,128,2.737969
2097152,256,2.991646
2097152,512,2.933757
2097152,1024,4.110716
2097152,2048,7.118039
2097152,4096,11.088673
2097152,8192,12.210762
