size,stride,ns
4096,4,0.613504
4096,8,0.612479
4096,16,0.604088
4096,32,0.581773
4096,64,0.545576
4096,128,0.490673
4096,256,0.491533
4096,512,0.505009
4096,1024,0.674245
4096,2048,0.553270
8192,4,0.614073
8192,8,0.613757
8192,16,0.611419
8192,32,0.597941
8192,64,0.583238
8192,128,0.549928
8192,256,0.499027
8192,512,0.494805
8192,1024,0.616029
8192,2048,0.799954
8192,4096,0.661351
16384,4,0.620684
16384,8,0.620452
16384,16,0.622141
16384,32,0.618245
16384,64,0.600756
16384,128,0.577840
16384,256,0.545166
16384,512,0.501628
16384,1024,0.615532
16384,2048,0.808392
16384,4096,1.249770
16384,8192,0.660115
32768,4,0.618900
32768,8,0.624621
32768,16,0.742336
32768,32,0.364231
32768,64,0.352421
32768,128,0.328129
32768,256,0.289970
32768,512,0.219572
32768,1024,0.125996
32768,2048,0.353356
32768,4096,0.771035
32768,8192,0.744236
32768,16384,0.646261
65536,4,0.625924
65536,8,0.620429
65536,16,0.637040
65536,32,0.756644
65536,64,1.654371
65536,128,1.587054
65536,256,1.507625
65536,512,1.458628
65536,1024,1.444886
65536,2048,3.629867
65536,4096,4.522271
65536,8192,1.210240
65536,16384,1.230927
65536,32768,0.645857
131072,4,0.619190
131072,8,0.628288
131072,16,0.688664
131072,32,0.907719
131072,64,1.783617
131072,128,1.764389
131072,256,1.700373
131072,512,1.665122
131072,1024,1.720274
131072,2048,3.319582
131072,4096,5.063526
131072,8192,4.645211
131072,16384,1.154288
131072,32768,1.267107
131072,65536,0.649173
262144,4,0.599616
262144,8,0.644276
262144,16,0.946285
262144,32,1.407361
262144,64,2.097462
262144,128,2.054114
262144,256,1.988321
262144,512,2.102545
262144,1024,2.431613
262144,2048,3.303500
262144,4096,5.759215
262144,8192,5.100374
262144,16384,4.646029
262144,32768,1.173737
262144,65536,1.260702
262144,131072,0.668735
524288,4,0.635526
524288,8,0.668358
524288,16,0.975831
524288,32,1.683252
524288,64,2.763411
524288,128,2.696802
524288,256,2.734427
524288,512,2.604466
524288,1024,2.804919
524288,2048,3.636214
524288,4096,7.357834
524288,8192,6.278562
524288,16384,6.082393
524288,32768,4.709116
524288,65536,1.280974
524288,131072,0.467205
524288,262144,0.566544
1048576,4,0.360548
1048576,8,0.414195
1048576,16,0.676082
1048576,32,1.146582
1048576,64,2.525921
1048576,128,2.550060
1048576,256,2.571340
1048576,512,2.437730
1048576,1024,3.754567
1048576,2048,5.114013
1048576,4096,8.326684
1048576,8192,8.560555
1048576,16384,8.712131
1048576,32768,6.702250
1048576,65536,5.081573
1048576,131072,1.282236
1048576,262144,0.465710
1048576,524288,0.566965
2097152,4,0.369570
2097152,8,0.418881
2097152,16,0.682919
2097152,32,1.157707
2097152,64,2.540498
2097152,128,2.582332
2097152,256,2.614119
2097152,512,2.442078
2097152,1024,3.750721
2097152,2048,5.131702
2097152,4096,8.327249
2097152,8192,9.032696
2097152,16384,9.246469
2097152,32768,8.677427
2097152,65536,6.858503
2097152,131072,5.075927
2097152,262144,1.282585
2097152,524288,0.466303
2097152,1048576,0.566575
4194304,4,0.540825
4194304,8,0.456044
4194304,16,0.698093
4194304,32,1.456749
4194304,64,3.132694
4194304,128,2.615821
4194304,256,2.665631
4194304,512,2.444129
4194304,1024,3.747617
4194304,2048,4.916955
4194304,4096,7.692599
4194304,8192,8.297356
4194304,16384,8.393702
4194304,32768,8.047552
4194304,65536,7.478771
4194304,131072,7.439800
4194304,262144,6.483906
4194304,524288,1.520654
4194304,1048576,2.512488
4194304,2097152,0.671125
8388608,4,0.793157
8388608,8,1.166102
8388608,16,2.396850
8388608,32,4.894222
8388608,64,9.716010
8388608,128,16.876717
8388608,256,23.409317
8388608,512,2.634819
8388608,1024,2.784155
8388608,2048,3.926967
8388608,4096,6.286943
8388608,8192,6.813321
8388608,16384,7.218806
8388608,32768,7.122309
8388608,65536,6.803146
8388608,131072,6.772198
8388608,262144,6.569302
8388608,524288,9.387888
8388608,1048576,4.099933
8388608,2097152,3.881348
8388608,4194304,0.667845
16777216,4,0.806358
16777216,8,1.181951
16777216,16,2.403751
16777216,32,4.961847
16777216,64,9.869133
16777216,128,14.672138
16777216,256,25.604410
16777216,512,26.048065
16777216,1024,24.183768
16777216,2048,5.022023
16777216,4096,7.334656
16777216,8192,7.481872
16777216,16384,7.074349
16777216,32768,7.004333
16777216,65536,6.844296
16777216,131072,7.003648
16777216,262144,6.589742
16777216,524288,10.094531
16777216,1048576,18.050398
16777216,2097152,5.083066
16777216,4194304,3.872027
16777216,8388608,0.662099
33554432,4,0.821764
33554432,8,1.152834
33554432,16,2.371312
33554432,32,4.801776
33554432,64,8.830821
33554432,128,17.564823
33554432,256,27.270180
33554432,512,28.054239
33554432,1024,27.262649
33554432,2048,30.058944
33554432,4096,30.221914
33554432,8192,28.730614
33554432,16384,29.596491
33554432,32768,29.621522
33554432,65536,34.945259
33554432,131072,53.575429
33554432,262144,6.699707
33554432,524288,10.466895
33554432,1048576,19.812112
33554432,2097152,19.328337
33554432,4194304,4.823728
33554432,8388608,3.892388
33554432,16777216,0.653364
67108864,4,0.823850
67108864,8,1.164627
67108864,16,2.371451
67108864,32,4.869781
67108864,64,10.015671
67108864,128,16.196471
67108864,256,25.482564
67108864,512,26.546409
67108864,1024,26.778824
67108864,2048,26.825780
67108864,4096,29.791445
67108864,8192,29.001947
67108864,16384,30.836095
67108864,32768,30.988671
67108864,65536,40.109651
67108864,131072,59.737364
67108864,262144,51.012067
67108864,524288,11.376112
67108864,1048576,19.583177
67108864,2097152,20.201059
67108864,4194304,19.113646
67108864,8388608,4.765847
67108864,16777216,3.868372
67108864,33554432,0.651586
